Country,2016
uk,37334
netherlands,45600
belgium,38766
france,37124
germany,44689
austria,41445
finland,37239
russia,23635
ukraine,9214
ussr,18635
yugoslavia,15416
czechoslovakia,27738
hungary,23279
poland,24838
italy,33419
spain,30110
portugal,25346
greece,22574
turkey,17906
egypt,11351
iraq,13898
jordan,11529
iran,16783
indonesia,10911
india,6125
china,12569
south korea,36103
japan,37465
united states,53015
canada,43745
mexico,16133
haiti,1728
cuba,7889
brazil,13873
venezuela,15219
chile,21696
argentina,18875
south africa,12139
australia,48845
