YR elected,CD,Any Congregation,No Congregation,Evangel. Prot Congregation,Roman Catholic,Mainline Prot,Other
2018,AK00,33.909,66.091,14.215,7.162,4.583,7.949
2018,AL01,59.33,40.67,35.985,6.836,8.113,8.396
2018,AL02,62.924,37.076,41.722,2.067,9.351,9.783
2018,AL03,57.356,42.644,39.893,1.959,7.434,8.069
2018,AL04,66.664,33.336,53.692,4.246,5.527,3.198
2018,AL05,55.356,44.644,38.622,4.167,9.125,3.442
2018,AL06,68.463,31.537,43.528,5.537,8.479,10.919
2018,AL07,70.368,29.632,40.843,4.575,8.832,16.118
2018,AR01,54.364,45.636,42.309,1.596,5.936,4.523
2018,AR02,52.951,47.049,35.199,4.705,7.943,5.104
2018,AR03,54.697,45.303,37.071,7.895,7.428,2.302
2018,AR04,59.443,40.557,41.341,2.63,6.859,8.613
2018,AZ01,34.601,65.399,8.127,11.84,2.046,12.589
2018,AZ02,39.945,60.055,10.111,20.69,3.556,5.588
2018,AZ03,39.116,60.884,10.78,19.518,2.953,5.866
2018,AZ04,26.094,73.906,8.331,10.81,1.995,4.958
2018,AZ05,39.073,60.927,14.001,13.64,2.728,8.704
2018,AZ06,39.073,60.927,14.001,13.64,2.728,8.704
2018,AZ07,39.073,60.927,14.001,13.64,2.728,8.704
2018,AZ08,39.073,60.927,14.001,13.64,2.728,8.704
2018,AZ09,39.073,60.927,14.001,13.64,2.728,8.704
2018,CA01,30.315,69.685,12.589,10.98,2.343,4.403
2018,CA02,34.214,65.786,5.198,20.669,3.07,5.277
2018,CA03,35.924,64.076,9.995,18.605,2.186,5.138
2018,CA04,38.399,61.601,13.059,18.922,1.831,4.586
2018,CA05,38.981,61.019,7.897,23.639,2.355,5.09
2018,CA06,37.021,62.979,10.767,16.566,2.398,7.289
2018,CA07,37.073,62.927,11.11,16.192,2.396,7.376
2018,CA08,41.2,58.8,11.677,23.378,1.349,4.795
2018,CA09,42.405,57.595,9.397,25.127,2.132,5.749
2018,CA10,40.616,59.384,12.044,22.484,1.572,4.516
2018,CA11,38.473,61.527,7.733,21.773,3.117,5.851
2018,CA12,35.308,64.692,3.769,15.025,7.365,9.148
2018,CA13,33.741,66.259,8.172,15.328,2.661,7.579
2018,CA14,44.546,55.454,3.495,31.163,3.907,5.981
2018,CA15,34.242,65.758,8.126,16.011,2.709,7.396
2018,CA16,52.939,47.061,11.786,35.356,1.683,4.114
2018,CA17,41.049,58.951,8.298,22.611,2.544,7.596
2018,CA18,43.105,56.895,7.306,26.173,2.6,7.026
2018,CA19,43.557,56.443,8.341,25.11,2.505,7.602
2018,CA20,44.856,55.144,5.575,32.303,2.35,4.628
2018,CA21,50.325,49.675,12.002,32.502,1.523,4.299
2018,CA22,46.81,53.19,12.876,27.531,1.879,4.523
2018,CA23,47.613,52.387,12.843,29.234,1.196,4.341
2018,CA24,50.004,49.996,7.553,33.956,3.836,4.659
2018,CA25,51.732,48.268,8.398,34.787,2.389,6.158
2018,CA26,44.932,55.068,8.899,28.357,2.668,5.007
2018,CA27,52.494,47.506,8.467,35.424,2.284,6.319
2018,CA28,53.104,46.896,8.297,36.084,2.333,6.39
2018,CA29,53.104,46.896,8.297,36.084,2.333,6.39
2018,CA30,53.085,46.915,8.298,36.066,2.334,6.387
2018,CA31,39.986,60.014,11.966,21.881,1.281,4.859
2018,CA32,53.104,46.896,8.297,36.084,2.333,6.39
2018,CA33,53.104,46.896,8.297,36.084,2.333,6.39
2018,CA34,53.104,46.896,8.297,36.084,2.333,6.39
2018,CA35,42.743,57.257,11.195,24.866,1.502,5.181
2018,CA36,44.437,55.563,10.975,27.528,1.349,4.585
2018,CA37,53.104,46.896,8.297,36.084,2.333,6.39
2018,CA38,52.947,47.053,8.365,35.879,2.337,6.366
2018,CA39,47.191,52.809,10.652,28.671,2.35,5.518
2018,CA40,53.104,46.896,8.297,36.084,2.333,6.39
2018,CA41,44.437,55.563,10.975,27.528,1.349,4.585
2018,CA42,44.437,55.563,10.975,27.528,1.349,4.585
2018,CA43,53.104,46.896,8.297,36.084,2.333,6.39
2018,CA44,53.104,46.896,8.297,36.084,2.333,6.39
2018,CA45,45.763,54.237,11.491,26.492,2.544,5.237
2018,CA46,45.763,54.237,11.491,26.492,2.544,5.237
2018,CA47,50.08,49.92,9.613,32.132,2.42,5.915
2018,CA48,45.763,54.237,11.491,26.492,2.544,5.237
2018,CA49,44.345,55.655,10.167,26.041,2.451,5.687
2018,CA50,43.977,56.023,9.906,26.092,2.299,5.68
2018,CA51,42.599,57.401,9.151,26.476,1.984,4.99
2018,CA52,43.917,56.083,9.767,25.905,2.423,5.822
2018,CA53,43.917,56.083,9.767,25.905,2.423,5.822
2018,CO01,48.132,51.868,9.281,24.465,6.04,8.347
2018,CO02,37.398,62.602,13.727,14.051,5.859,3.761
2018,CO03,42.533,57.467,10.717,22.014,4.129,5.674
2018,CO04,37.14,62.86,12.514,15.801,5.572,3.253
2018,CO05,33.775,66.225,15.227,9.117,5.286,4.145
2018,CO06,33.004,66.996,11.626,12.065,4.409,4.905
2018,CO07,32.791,67.209,10.562,15.456,3.044,3.73
2018,CT01,48.827,51.173,5.355,30.755,8.402,4.316
2018,CT02,44.079,55.921,3.423,30.937,7.102,2.616
2018,CT03,49.403,50.597,3.862,35.445,6.571,3.525
2018,CT04,62.968,37.032,5.092,43.943,8.958,4.975
2018,CT05,50.862,49.138,4.282,34.399,8.304,3.877
2018,DE00,41.753,58.247,7.197,20.328,9.673,4.555
2018,FL01,48.778,51.222,29.13,5.411,9.173,5.064
2018,FL02,42.469,57.531,27.365,3.713,5.123,6.269
